# Summary stats forbatch processing of regression models
# timestamp: 2021-04-13 18:07:19
"ID","file_name","slope","p_val","r2"
1,"MyFiles",NA,NA,NA
2,"ranFile001.csv",NA,NA,NA
3,"ranFile002.csv",NA,NA,NA
4,"ranFile003.csv",NA,NA,NA
5,"ranFile004.csv",NA,NA,NA
6,"ranFile005.csv",NA,NA,NA
7,"ranFile006.csv",NA,NA,NA
8,"ranFile007.csv",NA,NA,NA
9,"ranFile008.csv",NA,NA,NA
10,"ranFile009.csv",NA,NA,NA
11,"ranFile010.csv",NA,NA,NA
12,"ranFile011.csv",NA,NA,NA
13,"ranFile012.csv",NA,NA,NA
14,"ranFile013.csv",NA,NA,NA
15,"ranFile014.csv",NA,NA,NA
16,"ranFile015.csv",NA,NA,NA
17,"ranFile016.csv",NA,NA,NA
18,"ranFile017.csv",NA,NA,NA
19,"ranFile018.csv",NA,NA,NA
20,"ranFile019.csv",NA,NA,NA
21,"ranFile020.csv",NA,NA,NA
22,"ranFile021.csv",NA,NA,NA
23,"ranFile022.csv",NA,NA,NA
24,"ranFile023.csv",NA,NA,NA
25,"ranFile024.csv",NA,NA,NA
26,"ranFile025.csv",NA,NA,NA
27,"ranFile026.csv",NA,NA,NA
28,"ranFile027.csv",NA,NA,NA
29,"ranFile028.csv",NA,NA,NA
30,"ranFile029.csv",NA,NA,NA
31,"ranFile030.csv",NA,NA,NA
32,"ranFile031.csv",NA,NA,NA
33,"ranFile032.csv",NA,NA,NA
34,"ranFile033.csv",NA,NA,NA
35,"ranFile034.csv",NA,NA,NA
36,"ranFile035.csv",NA,NA,NA
37,"ranFile036.csv",NA,NA,NA
38,"ranFile037.csv",NA,NA,NA
39,"ranFile038.csv",NA,NA,NA
40,"ranFile039.csv",NA,NA,NA
41,"ranFile040.csv",NA,NA,NA
42,"ranFile041.csv",NA,NA,NA
43,"ranFile042.csv",NA,NA,NA
44,"ranFile043.csv",NA,NA,NA
45,"ranFile044.csv",NA,NA,NA
46,"ranFile045.csv",NA,NA,NA
47,"ranFile046.csv",NA,NA,NA
48,"ranFile047.csv",NA,NA,NA
49,"ranFile048.csv",NA,NA,NA
50,"ranFile049.csv",NA,NA,NA
51,"ranFile050.csv",NA,NA,NA
52,"ranFile051.csv",NA,NA,NA
53,"ranFile052.csv",NA,NA,NA
54,"ranFile053.csv",NA,NA,NA
55,"ranFile054.csv",NA,NA,NA
56,"ranFile055.csv",NA,NA,NA
57,"ranFile056.csv",NA,NA,NA
58,"ranFile057.csv",NA,NA,NA
59,"ranFile058.csv",NA,NA,NA
60,"ranFile059.csv",NA,NA,NA
61,"ranFile060.csv",NA,NA,NA
62,"ranFile061.csv",NA,NA,NA
63,"ranFile062.csv",NA,NA,NA
64,"ranFile063.csv",NA,NA,NA
65,"ranFile064.csv",NA,NA,NA
66,"ranFile065.csv",NA,NA,NA
67,"ranFile066.csv",NA,NA,NA
68,"ranFile067.csv",NA,NA,NA
69,"ranFile068.csv",NA,NA,NA
70,"ranFile069.csv",NA,NA,NA
71,"ranFile070.csv",NA,NA,NA
72,"ranFile071.csv",NA,NA,NA
73,"ranFile072.csv",NA,NA,NA
74,"ranFile073.csv",NA,NA,NA
75,"ranFile074.csv",NA,NA,NA
76,"ranFile075.csv",NA,NA,NA
77,"ranFile076.csv",NA,NA,NA
78,"ranFile077.csv",NA,NA,NA
79,"ranFile078.csv",NA,NA,NA
80,"ranFile079.csv",NA,NA,NA
81,"ranFile080.csv",NA,NA,NA
82,"ranFile081.csv",NA,NA,NA
83,"ranFile082.csv",NA,NA,NA
84,"ranFile083.csv",NA,NA,NA
85,"ranFile084.csv",NA,NA,NA
86,"ranFile085.csv",NA,NA,NA
87,"ranFile086.csv",NA,NA,NA
88,"ranFile087.csv",NA,NA,NA
89,"ranFile088.csv",NA,NA,NA
90,"ranFile089.csv",NA,NA,NA
91,"ranFile090.csv",NA,NA,NA
92,"ranFile091.csv",NA,NA,NA
93,"ranFile092.csv",NA,NA,NA
94,"ranFile093.csv",NA,NA,NA
95,"ranFile094.csv",NA,NA,NA
96,"ranFile095.csv",NA,NA,NA
97,"ranFile096.csv",NA,NA,NA
98,"ranFile097.csv",NA,NA,NA
99,"ranFile098.csv",NA,NA,NA
100,"ranFile099.csv",NA,NA,NA
101,"ranFile100.csv",NA,NA,NA
