# Simulated random data file for batch 
                    processing
# timestamp: 2021-04-13 18:07:17
# EMD
# -------------------

"var_x","var_y"
0.191522607346997,0.712817893363535
0.843206703197211,0.603770608315244
0.401248928625137,0.539690534351394
0.592410222627223,0.447400773875415
0.668162983143702,0.243732129689306
0.897999894805253,0.315267694648355
0.1394167765975,0.569877039408311
0.898370850365609,0.0519174351356924
0.454289516434073,0.473720637848601
0.506050602765754,0.826290017459542
0.761492867721245,0.721114949788898
0.0112700238823891,0.756336545804515
0.689304615370929,0.508553092135116
NA,0.707409118534997
0.56933778943494,0.863808915717527
0.945404235040769,0.0907012156676501
0.558148824376985,0.684383257990703
0.661802381509915,0.711084366543218
0.528855762910098,0.20817083446309
0.27432459499687,0.242004502331838
0.466015337267891,0.825893913628533
0.720487974351272,0.0585815131198615
0.0954146815929562,0.178829829674214
0.19100342458114,0.170486079296097
0.284519522683695,0.641867750324309
0.294137623626739,0.367485170019791
NA,0.483426820952445
0.29010133841075,0.66327833593823
0.182243804214522,0.79269244405441
0.31078446819447,0.0906286106910557
0.782545066671446,0.0294225828256458
NA,0.955534524749964
0.721868922235444,0.0331334630027413
0.378522711340338,0.891191215021536
0.00317326467484236,0.845726604573429
0.97305681114085,0.561205822508782
0.472827147459611,0.223022421356291
0.687618106603622,NA
0.226736548123881,0.188034791266546
0.762360829859972,0.187183287227526
0.0733127926941961,0.805153795983642
0.536599753191695,0.24392170784995
0.281302911229432,0.937497356906533
0.851722138468176,0.0181682896800339
0.472749687731266,NA
0.666304458631203,0.286559519125149
0.594444768270478,0.00665018963627517
0.165154274087399,0.429991004057229
0.913305516121909,0.754731347551569
0.174477664753795,0.91565733239986
0.360292505472898,0.0832429137080908
0.523710500681773,0.556342386407778
0.34643226582557,0.174384721787646
0.0266575927380472,0.839210801525041
0.233697080984712,0.531995204044506
0.988548160763457,0.161502041621134
0.428496550302953,0.824121549492702
0.524244120810181,0.130436533363536
0.558239128440619,NA
0.824126430554315,0.28396404068917
0.538619433995336,0.635104977758601
0.26651112944819,0.099298492539674
0.141956271603703,0.535331983119249
0.51895102718845,0.981904588872567
0.0498112251516432,0.579566915519536
0.893856785725802,0.290673174429685
0.694747338769957,0.177304883021861
0.963403197471052,0.0337508723605424
0.518320937873796,0.684057309292257
0.805427428567782,0.812064459780231
0.898525901138783,0.964033418335021
0.839595831697807,0.395829571876675
0.586662598885596,0.17009356780909
0.898588390322402,0.871215449878946
